id,Gender,Customer_Type,Age,Age_Category,Type_of_Travel,Class,Flight_Distance,Flight_Distance_Category,Inflight_wifi_service,Departure_Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On_board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,Departure_Delay_in_Minutes,Departure_Delay_Category,Arrival_Delay_in_Minutes,Satisfaction
7823,Male,Loyal Customer,62,Old,Personal Travel,Eco,710,Short-Haul,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,Minor Delay,0,neutral or dissatisfied
127781,Male,Loyal Customer,24,Adolescent,Business travel,Business,3680,Long-Haul,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,Minor Delay,0,satisfied
34501,Female,Loyal Customer,22,Adolescent,Business travel,Eco,1521,Long-Haul,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,Minor Delay,13,satisfied
121658,Male,Loyal Customer,44,Adolescent,Business travel,Business,1543,Long-Haul,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,Minor Delay,0,satisfied
20219,Male,Loyal Customer,51,Adolescent,Business travel,Eco,235,Short-Haul,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,Minor Delay,0,neutral or dissatisfied
67551,Male,Loyal Customer,43,Adolescent,Personal Travel,Business,1235,Short-Haul,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,Minor Delay,0,neutral or dissatisfied
48994,Female,Loyal Customer,56,Adolescent,Business travel,Eco,308,Short-Haul,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,Minor Delay,0,satisfied
70811,Male,Disloyal Customer,41,Adolescent,Business travel,Eco,624,Short-Haul,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,Minor Delay,0,neutral or dissatisfied
75241,Male,Loyal Customer,22,Adolescent,Personal Travel,Eco,1846,Long-Haul,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,Moderate Delay,68,neutral or dissatisfied
12312,Female,Loyal Customer,53,Adolescent,Business travel,Eco,192,Short-Haul,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,Minor Delay,1,satisfied
48372,Male,Loyal Customer,12,Children,Personal Travel,Eco,674,Short-Haul,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,Severe Delay,70,neutral or dissatisfied
51477,Female,Loyal Customer,39,Adolescent,Business travel,Business,370,Short-Haul,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,Minor Delay,12,satisfied
84204,Female,Loyal Customer,55,Adolescent,Business travel,Business,3169,Long-Haul,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,Severe Delay,68,satisfied
70990,Female,Disloyal Customer,32,Adolescent,Business travel,Business,802,Short-Haul,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,Minor Delay,10,neutral or dissatisfied
101991,Female,Loyal Customer,40,Adolescent,Personal Travel,Eco,628,Short-Haul,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,Minor Delay,0,neutral or dissatisfied
87447,Female,Disloyal Customer,42,Adolescent,Business travel,Business,373,Short-Haul,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,Minor Delay,0,neutral or dissatisfied
16112,Male,Disloyal Customer,24,Adolescent,Business travel,Eco,725,Short-Haul,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,Minor Delay,4,satisfied
16172,Male,Loyal Customer,22,Adolescent,Business travel,Business,277,Short-Haul,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,Severe Delay,177,neutral or dissatisfied
106558,Female,Loyal Customer,28,Adolescent,Business travel,Business,1024,Short-Haul,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,Minor Delay,3,satisfied
11536,Female,Loyal Customer,36,Adolescent,Business travel,Eco Plus,267,Short-Haul,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,Moderate Delay,55,neutral or dissatisfied
47773,Female,Loyal Customer,62,Old,Business travel,Eco,550,Short-Haul,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,Severe Delay,90,satisfied
70521,Female,Loyal Customer,60,Old,Business travel,Business,1889,Long-Haul,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,Minor Delay,0,satisfied
96283,Female,Loyal Customer,59,Adolescent,Personal Travel,Eco,460,Short-Haul,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,Minor Delay,2,neutral or dissatisfied
117993,Female,Loyal Customer,49,Adolescent,Business travel,Business,3295,Long-Haul,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,Minor Delay,4,satisfied
74703,Female,Loyal Customer,44,Adolescent,Personal Travel,Eco,1205,Short-Haul,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,Minor Delay,0,neutral or dissatisfied
110840,Female,Loyal Customer,58,Adolescent,Personal Travel,Eco Plus,990,Short-Haul,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,Minor Delay,0,neutral or dissatisfied
88249,Male,Disloyal Customer,24,Adolescent,Business travel,Business,444,Short-Haul,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,Minor Delay,32,satisfied
125877,Female,Loyal Customer,53,Adolescent,Business travel,Eco,520,Short-Haul,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,Minor Delay,0,satisfied
83968,Male,Loyal Customer,56,Adolescent,Business travel,Eco,321,Short-Haul,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,Minor Delay,0,neutral or dissatisfied
122719,Female,Loyal Customer,30,Adolescent,Business travel,Business,651,Short-Haul,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,Minor Delay,0,satisfied
3949,Male,Disloyal Customer,27,Adolescent,Business travel,Business,764,Short-Haul,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,Moderate Delay,46,neutral or dissatisfied
45542,Male,Loyal Customer,27,Adolescent,Business travel,Business,566,Short-Haul,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,Minor Delay,0,satisfied
43742,Female,Loyal Customer,67,Old,Personal Travel,Eco,626,Short-Haul,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,Minor Delay,0,neutral or dissatisfied
122093,Female,Loyal Customer,32,Adolescent,Personal Travel,Eco,130,Short-Haul,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,Minor Delay,4,neutral or dissatisfied
121454,Male,Disloyal Customer,36,Adolescent,Business travel,Eco,331,Short-Haul,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,Minor Delay,0,neutral or dissatisfied
738,Male,Loyal Customer,44,Adolescent,Business travel,Business,158,Short-Haul,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,Severe Delay,57,satisfied
75235,Female,Loyal Customer,70,Old,Personal Travel,Eco,1829,Long-Haul,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,Minor Delay,0,neutral or dissatisfied
88653,Female,Loyal Customer,55,Adolescent,Personal Travel,Eco,646,Short-Haul,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,Minor Delay,3,neutral or dissatisfied
26594,Male,Loyal Customer,66,Old,Business travel,Eco,404,Short-Haul,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,Minor Delay,6,satisfied
38339,Female,Loyal Customer,19,Adolescent,Business travel,Business,2738,Long-Haul,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,Minor Delay,0,satisfied
46063,Female,Loyal Customer,53,Adolescent,Personal Travel,Eco Plus,964,Short-Haul,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,Minor Delay,0,neutral or dissatisfied
27957,Male,Loyal Customer,22,Adolescent,Business travel,Business,1660,Long-Haul,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,Minor Delay,0,neutral or dissatisfied
17270,Female,Loyal Customer,69,Old,Personal Travel,Eco,872,Short-Haul,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,Minor Delay,0,neutral or dissatisfied
87976,Female,Loyal Customer,42,Adolescent,Business travel,Business,1898,Long-Haul,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,Moderate Delay,47,satisfied
31640,Female,Loyal Customer,41,Adolescent,Business travel,Business,967,Short-Haul,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,Moderate Delay,40,satisfied
41461,Female,Loyal Customer,53,Adolescent,Personal Travel,Business,1242,Short-Haul,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,Minor Delay,0,neutral or dissatisfied
15143,Male,Loyal Customer,35,Adolescent,Business travel,Business,1042,Short-Haul,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,Minor Delay,0,neutral or dissatisfied
78136,Female,Loyal Customer,54,Adolescent,Personal Travel,Business,153,Short-Haul,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,Minor Delay,0,neutral or dissatisfied
120433,Male,Loyal Customer,44,Adolescent,Business travel,Business,366,Short-Haul,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,Minor Delay,24,satisfied
41440,Female,Disloyal Customer,26,Adolescent,Business travel,Eco Plus,913,Short-Haul,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,Minor Delay,0,neutral or dissatisfied
15963,Female,Loyal Customer,44,Adolescent,Personal Travel,Eco,528,Short-Haul,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,Minor Delay,0,neutral or dissatisfied
64303,Female,Disloyal Customer,24,Adolescent,Business travel,Eco,1172,Short-Haul,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,Minor Delay,27,neutral or dissatisfied
3608,Female,Loyal Customer,54,Adolescent,Personal Travel,Eco,999,Short-Haul,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,Minor Delay,0,neutral or dissatisfied
7744,Male,Loyal Customer,42,Adolescent,Business travel,Eco Plus,489,Short-Haul,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,Minor Delay,0,neutral or dissatisfied
21276,Male,Disloyal Customer,36,Adolescent,Business travel,Eco,692,Short-Haul,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,Minor Delay,0,neutral or dissatisfied
58576,Female,Loyal Customer,61,Old,Business travel,Business,1585,Long-Haul,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,Minor Delay,20,satisfied
53888,Female,Loyal Customer,50,Adolescent,Personal Travel,Eco,140,Short-Haul,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,Minor Delay,0,neutral or dissatisfied
10980,Male,Loyal Customer,27,Adolescent,Business travel,Business,2729,Long-Haul,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,Moderate Delay,52,satisfied
54151,Male,Loyal Customer,55,Adolescent,Business travel,Business,1400,Short-Haul,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,Minor Delay,0,neutral or dissatisfied
115641,Male,Disloyal Customer,21,Adolescent,Business travel,Eco,447,Short-Haul,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,Minor Delay,0,neutral or dissatisfied
58584,Female,Loyal Customer,31,Adolescent,Personal Travel,Business,334,Short-Haul,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,Minor Delay,0,neutral or dissatisfied
50472,Female,Disloyal Customer,37,Adolescent,Business travel,Eco,158,Short-Haul,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,Minor Delay,20,neutral or dissatisfied
102623,Female,Loyal Customer,50,Adolescent,Business travel,Business,3696,Long-Haul,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,Minor Delay,0,satisfied
31533,Female,Loyal Customer,21,Adolescent,Personal Travel,Eco,846,Short-Haul,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,Minor Delay,17,neutral or dissatisfied
42287,Female,Loyal Customer,53,Adolescent,Business travel,Eco,329,Short-Haul,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,Minor Delay,0,neutral or dissatisfied
70467,Male,Loyal Customer,45,Adolescent,Business travel,Business,2580,Long-Haul,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,Minor Delay,11,satisfied
20461,Female,Disloyal Customer,42,Adolescent,Business travel,Eco,84,Short-Haul,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,Minor Delay,34,neutral or dissatisfied
113346,Male,Loyal Customer,59,Adolescent,Business travel,Business,3358,Long-Haul,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,Minor Delay,0,satisfied
115566,Female,Loyal Customer,54,Adolescent,Business travel,Eco,308,Short-Haul,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,Severe Delay,95,neutral or dissatisfied
119896,Female,Loyal Customer,46,Adolescent,Business travel,Business,912,Short-Haul,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,Minor Delay,0,satisfied
88853,Female,Loyal Customer,52,Adolescent,Personal Travel,Eco Plus,406,Short-Haul,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,Minor Delay,0,neutral or dissatisfied
24895,Female,Loyal Customer,38,Adolescent,Personal Travel,Eco,397,Short-Haul,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,Minor Delay,0,neutral or dissatisfied
31122,Male,Loyal Customer,35,Adolescent,Business travel,Business,2409,Long-Haul,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,Minor Delay,0,satisfied
91231,Female,Loyal Customer,41,Adolescent,Personal Travel,Eco,545,Short-Haul,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,Minor Delay,0,neutral or dissatisfied
61426,Female,Disloyal Customer,40,Adolescent,Business travel,Business,2419,Long-Haul,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,Minor Delay,0,neutral or dissatisfied
68873,Female,Disloyal Customer,36,Adolescent,Business travel,Eco,1061,Short-Haul,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,Minor Delay,0,neutral or dissatisfied
125701,Male,Loyal Customer,67,Old,Personal Travel,Eco,899,Short-Haul,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,Minor Delay,0,neutral or dissatisfied
94999,Female,Loyal Customer,38,Adolescent,Personal Travel,Eco,293,Short-Haul,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,Minor Delay,0,satisfied
56694,Female,Loyal Customer,50,Adolescent,Personal Travel,Eco,1085,Short-Haul,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,Minor Delay,0,neutral or dissatisfied
62010,Male,Loyal Customer,50,Adolescent,Business travel,Business,2475,Long-Haul,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,Minor Delay,0,satisfied
95868,Male,Loyal Customer,54,Adolescent,Business travel,Business,2544,Long-Haul,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,Severe Delay,66,satisfied
123064,Male,Loyal Customer,56,Adolescent,Business travel,Business,2556,Long-Haul,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,Severe Delay,113,satisfied
103418,Male,Loyal Customer,38,Adolescent,Personal Travel,Eco,237,Short-Haul,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,Minor Delay,2,neutral or dissatisfied
73456,Female,Loyal Customer,7,Children,Personal Travel,Eco,1120,Short-Haul,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,Minor Delay,13,neutral or dissatisfied
8851,Female,Loyal Customer,32,Adolescent,Business travel,Business,2668,Long-Haul,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,Minor Delay,0,satisfied
64241,Male,Loyal Customer,45,Adolescent,Business travel,Eco,1660,Long-Haul,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,Minor Delay,7,neutral or dissatisfied
81723,Male,Disloyal Customer,25,Adolescent,Business travel,Eco,1310,Short-Haul,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,Minor Delay,24,neutral or dissatisfied
88237,Female,Loyal Customer,45,Adolescent,Business travel,Business,2374,Long-Haul,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,Minor Delay,0,satisfied
50619,Male,Loyal Customer,34,Adolescent,Personal Travel,Eco,209,Short-Haul,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,Minor Delay,0,neutral or dissatisfied
54444,Male,Loyal Customer,20,Adolescent,Personal Travel,Eco Plus,305,Short-Haul,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,Minor Delay,2,neutral or dissatisfied
64765,Female,Disloyal Customer,36,Adolescent,Business travel,Eco,247,Short-Haul,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,Minor Delay,6,neutral or dissatisfied
15941,Male,Disloyal Customer,36,Adolescent,Business travel,Eco,338,Short-Haul,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,Minor Delay,0,neutral or dissatisfied
14965,Male,Loyal Customer,27,Adolescent,Business travel,Business,3200,Long-Haul,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,Minor Delay,0,satisfied
36897,Male,Loyal Customer,40,Adolescent,Personal Travel,Eco,1368,Short-Haul,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,Minor Delay,0,neutral or dissatisfied
127954,Male,Loyal Customer,31,Adolescent,Business travel,Business,1999,Long-Haul,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,Minor Delay,4,satisfied
27872,Male,Loyal Customer,25,Adolescent,Business travel,Eco Plus,680,Short-Haul,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,Minor Delay,0,satisfied
35854,Male,Loyal Customer,42,Adolescent,Business travel,Business,537,Short-Haul,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,Minor Delay,0,satisfied
14527,Female,Loyal Customer,45,Adolescent,Business travel,Eco,288,Short-Haul,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,Minor Delay,40,satisfied
47021,Male,Loyal Customer,59,Adolescent,Personal Travel,Business,639,Short-Haul,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,Minor Delay,11,neutral or dissatisfied
11224,Male,Loyal Customer,34,Adolescent,Personal Travel,Eco,201,Short-Haul,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,Minor Delay,8,neutral or dissatisfied
3921,Female,Loyal Customer,22,Adolescent,Personal Travel,Eco,213,Short-Haul,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,Minor Delay,17,neutral or dissatisfied
69463,Male,Loyal Customer,21,Adolescent,Personal Travel,Eco,1096,Short-Haul,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,Minor Delay,0,neutral or dissatisfied
47050,Male,Loyal Customer,26,Adolescent,Business travel,Business,1680,Long-Haul,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,Minor Delay,10,neutral or dissatisfied
21970,Male,Loyal Customer,37,Adolescent,Business travel,Business,2401,Long-Haul,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,Severe Delay,86,satisfied
30046,Male,Loyal Customer,38,Adolescent,Business travel,Business,2746,Long-Haul,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,Minor Delay,0,satisfied
1256,Female,Loyal Customer,17,Children,Personal Travel,Eco,89,Short-Haul,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,Minor Delay,0,neutral or dissatisfied
73813,Male,Loyal Customer,15,Children,Personal Travel,Eco Plus,192,Short-Haul,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,Minor Delay,8,neutral or dissatisfied
110928,Female,Loyal Customer,53,Adolescent,Personal Travel,Eco,404,Short-Haul,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,Minor Delay,0,neutral or dissatisfied
102981,Male,Disloyal Customer,39,Adolescent,Business travel,Business,546,Short-Haul,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,Severe Delay,88,neutral or dissatisfied
61571,Male,Loyal Customer,40,Adolescent,Business travel,Business,2400,Long-Haul,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,Minor Delay,0,satisfied
3796,Female,Disloyal Customer,28,Adolescent,Business travel,Eco Plus,599,Short-Haul,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,Minor Delay,46,neutral or dissatisfied
73906,Female,Disloyal Customer,27,Adolescent,Business travel,Business,2342,Long-Haul,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,Minor Delay,0,neutral or dissatisfied
74090,Female,Loyal Customer,41,Adolescent,Business travel,Business,3046,Long-Haul,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,Minor Delay,0,satisfied
76645,Female,Loyal Customer,7,Children,Personal Travel,Eco,516,Short-Haul,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,Minor Delay,0,neutral or dissatisfied
100462,Male,Disloyal Customer,48,Adolescent,Business travel,Business,759,Short-Haul,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,Minor Delay,1,neutral or dissatisfied
54164,Male,Loyal Customer,13,Children,Business travel,Eco,1400,Short-Haul,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,Minor Delay,0,neutral or dissatisfied
6147,Female,Loyal Customer,48,Adolescent,Business travel,Business,491,Short-Haul,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,Minor Delay,0,satisfied
1262,Female,Loyal Customer,49,Adolescent,Personal Travel,Eco,134,Short-Haul,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,Minor Delay,3,neutral or dissatisfied
20310,Male,Disloyal Customer,26,Adolescent,Business travel,Business,900,Short-Haul,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,Minor Delay,0,satisfied
46896,Male,Loyal Customer,22,Adolescent,Business travel,Business,3648,Long-Haul,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,Minor Delay,0,satisfied
7237,Female,Loyal Customer,53,Adolescent,Business travel,Business,3769,Long-Haul,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,Severe Delay,178,neutral or dissatisfied
44293,Female,Loyal Customer,43,Adolescent,Business travel,Eco,563,Short-Haul,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,Minor Delay,0,satisfied
52496,Male,Loyal Customer,56,Adolescent,Business travel,Business,3131,Long-Haul,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,Minor Delay,0,satisfied
68263,Female,Loyal Customer,69,Old,Personal Travel,Eco,631,Short-Haul,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,Minor Delay,0,neutral or dissatisfied
5289,Male,Loyal Customer,59,Adolescent,Personal Travel,Eco,351,Short-Haul,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,Minor Delay,0,satisfied
109359,Female,Loyal Customer,56,Adolescent,Business travel,Business,1189,Short-Haul,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,Minor Delay,0,satisfied
94988,Male,Loyal Customer,11,Children,Personal Travel,Eco,562,Short-Haul,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,Minor Delay,0,satisfied
53605,Female,Loyal Customer,25,Adolescent,Business travel,Eco,1874,Long-Haul,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,Severe Delay,78,satisfied
11005,Female,Disloyal Customer,29,Adolescent,Business travel,Eco,158,Short-Haul,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,Minor Delay,0,satisfied
